0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	2
9	4
10	29
11	148
12	281
13	406
14	563
15	708
16	840
17	997
18	981
19	931
20	880
21	862
22	738
23	686
24	609
25	614
26	535
27	503
28	436
29	387
30	400
31	357
32	428
33	440
34	481
35	523
36	517
37	557
38	556
39	614
40	652
41	657
42	610
43	646
44	709
45	661
46	659
47	686
48	683
49	708
50	706
51	624
52	651
53	677
54	694
55	686
56	778
57	796
58	799
59	868
60	919
61	1026
62	944
63	969
64	921
65	946
66	1052
67	1029
68	1011
69	1054
70	1079
71	1022
72	1006
73	869
74	788
75	862
76	887
77	906
78	912
79	903
80	923
81	1097
82	950
83	1134
84	1196
85	1251
86	1300
87	1370
88	1183
89	968
90	911
91	781
92	698
93	576
94	427
95	382
96	273
97	215
98	187
99	159
100	138
101	96
102	114
103	87
104	101
105	107
106	81
107	87
108	91
109	92
110	90
111	78
112	78
113	67
114	105
115	196
116	477
117	765
118	1030
119	912
120	470
121	357
122	324
123	351
124	293
125	278
126	210
127	125
128	99
129	95
130	83
131	105
132	86
133	112
134	110
135	96
136	106
137	79
138	106
139	119
140	80
141	67
142	79
143	70
144	92
145	77
146	88
147	57
148	74
149	96
150	110
151	114
152	126
153	184
154	247
155	289
156	286
157	258
158	295
159	271
160	355
161	460
162	591
163	771
164	1108
165	1447
166	1527
167	1475
168	1565
169	1663
170	1339
171	1053
172	955
173	841
174	550
175	294
176	144
177	34
178	20
179	1
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
